gene	TS001	TS002	TS003	TS004	TS005	TS006	TS007	TS008	TS009	TS010	TS011	TS012	TS003-2
WDR70	190	256	163	185	91	239	78	112	71	106	109	88	169
WDR73	166	335	327	328	170	388	225	269	197	291	283	274	309
WDR72	15	32	62	22	0	20	3	0	1	2	0	4	59
WDR75	270	343	407	361	202	498	234	248	161	298	311	223	435
WDR74	300	201	159	163	99	225	86	138	95	158	171	133	173
WDR77	287	309	379	344	215	408	265	239	173	397	282	271	367
WDR76	63	129	102	93	10	142	6	14	5	14	12	11	130
MCF2	252	251	634	443	563	333	823	659	458	1093	1024	665	680
CDO1	189	180	317	299	340	170	226	412	297	773	544	435	320
PRPF8	1564	4370	4606	3552	1573	4272	1522	1571	1460	2630	2295	1705	4712
PRPF3	291	469	432	445	297	565	302	368	312	451	450	374	539
PRPF4	213	352	456	335	261	366	281	416	287	586	383	325	434
PRPF6	1118	1553	1297	1093	441	1320	633	614	524	910	819	747	1277
CD177	4	3	4	5	1	3	0	2	1	2	1	0	2
PCF11	389	858	863	708	515	693	453	545	379	668	540	546	908
ZFP69	59	141	115	111	47	125	44	74	43	61	53	62	123
ZFP64	165	259	248	170	72	195	91	97	73	119	113	106	222
PIP4K2A	158	278	219	265	126	367	104	145	87	108	110	157	227
ZFP62	164	286	273	262	216	326	140	166	179	212	242	220	301
PIP4K2C	314	1067	981	782	398	785	597	485	402	906	614	499	976
PIP4K2B	393	808	1050	1167	995	1110	947	1066	825	1409	1296	1197	1074
ARL14EP	302	344	272	257	167	268	153	144	123	225	195	158	340
ZWINT	415	644	535	388	50	489	76	89	47	113	110	80	538
CSAD	259	463	470	525	308	656	330	394	323	371	325	339	459
C7orf55-LUC7L2	0	0	0	0	0	0	0	0	0	0	0	0	0
CDON	103	281	218	288	93	292	65	69	92	123	209	119	249
DEFB116	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB114	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB115	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB112	0	0	0	0	0	0	0	0	0	1	0	0	0
DEFB113	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB110	0	0	0	0	0	0	0	0	0	0	0	0	0
RPRM	23	17	18	28	3	17	13	5	3	16	11	3	24
DEFB118	0	1	1	0	0	1	0	0	4	0	0	1	1
DEFB119	1001	846	1666	1781	2717	1184	3036	2310	1346	3894	2161	2508	1815
DMBT1	22	91	56	20	0	36	0	1	0	1	2	0	36
PRKG1	65	68	53	106	52	131	32	62	88	73	63	43	58
PRKG2	14	31	23	17	6	13	2	1	2	6	5	2	25
PMEPA1	75	107	160	191	91	246	58	146	179	170	45	75	127
CALML3	45	64	27	20	0	27	0	2	0	0	1	0	25
CALML6	11	10	10	15	5	21	8	17	3	12	10	6	14
CALML5	2	2	1	0	0	0	0	0	0	0	0	0	2
CALML4	115	168	116	189	166	222	124	142	145	178	174	193	136
CREM	1905	3324	1674	1438	110	1240	129	146	84	192	133	146	1847
PDGFRB	284	945	687	2374	2061	2298	1812	2285	2936	2642	1536	1838	707
ANKRD13D	178	224	184	252	156	300	149	192	180	154	191	251	171
ANKRD13B	193	552	487	488	313	402	356	551	212	529	543	699	447
ANKRD13C	101	127	197	176	229	230	193	229	181	310	281	266	189
ANKRD13A	1240	2564	1734	1686	208	1345	212	228	242	242	278	304	1976
KIAA1467	148	306	302	252	61	370	23	41	35	59	46	71	319
AIDA	51	111	158	135	117	137	111	155	78	235	116	149	166
KIAA1462	497	1024	2366	1564	2413	1587	2376	2501	1637	4743	3269	2445	2317
PDGFRL	33	43	25	121	132	151	43	108	73	87	66	146	34
TMSB10	2212	1274	2338	2623	3011	2451	4396	3681	2797	5059	4194	4131	2249
MCTP1	17	36	30	31	11	42	24	18	17	12	14	15	25
MCTP2	60	122	50	90	9	79	12	11	9	13	8	9	68
SMNDC1	258	375	389	352	181	492	179	208	151	296	200	255	426
IER5L	94	148	87	170	60	201	13	102	85	77	40	60	91
PCIF1	204	449	401	451	214	413	273	268	274	420	332	311	414
NDOR1	580	1050	1223	1017	774	1249	1015	877	702	1330	1108	1040	1167
BABAM1	510	720	496	460	220	514	264	316	239	368	326	322	533
AGRP	2	4	3	7	3	3	2	2	2	6	7	7	6
AGRN	575	1425	1236	1823	1966	1616	1670	2049	1322	1851	1642	1899	1113
RABL6	1017	1727	1184	1093	481	1252	730	739	672	781	892	789	1148
RABL3	108	153	187	190	150	210	168	156	121	227	186	198	204
SYCN	78	107	221	169	143	135	264	282	153	488	176	110	188
PACRGL	361	602	447	322	58	390	57	87	58	94	75	67	493
XAGE1A	0	0	0	0	0	0	0	0	0	0	0	0	0
XAGE1B	0	0	0	0	0	0	0	0	0	0	0	0	0
XAGE1C	0	0	0	0	0	0	0	0	0	0	0	0	0
XAGE1D	0	0	0	0	0	0	0	0	0	0	0	0	0
XAGE1E	0	0	0	0	0	0	0	0	0	0	0	0	0
RUFY1	150	281	238	245	188	324	157	192	169	246	214	197	225
RUFY3	672	1132	1622	1521	1892	1560	2217	2607	1689	2807	2715	1925	1834
RUFY2	86	148	204	196	150	243	142	174	127	181	194	170	214
RUFY4	0	3	2	4	2	2	0	0	1	1	1	2	0
AGR2	8	10	0	0	0	1	0	0	0	0	0	0	1
AGR3	1	2	0	0	0	0	0	0	0	0	0	0	1
OR13A1	1	5	6	3	1	9	0	0	1	0	0	0	3
PLK1S1	440	1112	677	411	85	451	95	114	86	167	122	109	819
GPAM	282	273	450	374	332	364	606	408	317	843	480	395	455
ACSM1	47	96	46	85	32	49	70	58	51	52	68	42	41
ACSM3	24	54	28	63	34	57	17	32	23	37	90	117	37
ACSM5	1	3	3	29	44	29	12	23	18	11	18	11	8
ACSM4	6	15	14	13	0	9	2	0	0	0	1	0	9
EIF4ENIF1	647	1474	1029	861	277	808	339	396	290	541	430	335	1106
TRIM28	2975	5539	3681	3137	1121	3819	1295	1219	1064	1844	1631	1457	3577
TRIM29	85	257	134	126	3	90	0	2	1	0	3	2	139
TRIM24	691	1400	756	684	295	655	309	349	220	450	488	311	815
TRIM25	344	541	1249	1129	1588	892	1777	1845	1274	2231	1924	1748	1273
TRIM26	196	598	842	804	681	727	1268	1228	774	1469	1002	1025	816
TRIM27	231	373	555	520	517	530	555	590	431	1002	720	646	562
TRIM21	33	46	36	58	98	101	55	78	81	104	74	120	25
TRIM22	66	175	117	495	510	547	426	434	441	434	314	684	139
TRIM23	178	227	277	224	136	296	135	192	123	250	176	166	305
GNPAT	525	831	598	512	191	541	175	227	153	284	231	231	640
F2R	120	257	513	521	394	331	827	494	290	936	621	513	538
IHH	1	6	2	2	2	5	0	0	1	3	0	1	3
PPDPF	537	914	1000	1056	1040	846	1646	1194	941	2137	1513	1352	933
DNAJC28	162	253	112	123	46	87	34	35	23	33	34	32	125
DNAJC27	497	1506	1118	904	175	900	148	225	150	292	221	146	1122
DNAJC25	156	228	206	235	177	229	201	236	130	274	224	216	252
DNAJC24	124	218	164	171	125	167	146	155	105	228	180	120	206
NTSR2	0	5	4	3	1	2	3	0	0	0	4	4	1
DNAJC22	10	20	13	11	2	2	0	0	1	1	2	2	20
DNAJC21	1227	1754	1100	910	305	1109	361	411	232	495	439	395	1139
NTSR1	15	36	23	24	3	17	1	1	0	2	0	3	12
DTD1	344	381	310	314	99	373	120	92	84	148	151	131	322
DTD2	76	105	156	169	152	142	201	201	113	287	242	145	206
OR4D10	0	0	0	1	0	0	0	0	0	0	0	0	0
OR4D11	0	0	0	0	0	0	1	0	0	0	0	0	0
HEMGN	938	1584	608	666	1	195	2	2	2	1	8	0	728
BAG2	341	541	369	298	98	293	78	90	81	143	109	101	391
BAG3	344	799	595	602	120	597	194	196	211	330	214	150	595
BAG1	1254	1551	797	804	200	529	187	223	175	286	271	251	803
BAG6	2756	7600	5027	4191	983	3727	1222	1179	938	1771	1485	1289	5104
BAG4	68	128	148	150	118	185	100	147	80	146	152	141	197
BAG5	3127	5789	2581	2431	377	1466	300	399	341	555	497	390	2834
KMO	16	21	16	10	1	12	2	2	3	5	3	5	18
ATXN1L	362	1534	1173	943	611	1040	545	626	495	840	659	542	1228
ZNF385C	97	292	328	183	69	151	119	396	413	394	413	247	343
ZNF385B	122	306	443	374	356	111	509	560	363	1037	714	534	512
ZNF385A	23	55	39	80	59	151	32	57	70	75	52	85	32
UTP11L	225	318	263	237	109	304	122	151	104	136	154	144	250
ATXN10	970	1270	1385	1205	758	1328	833	874	614	1459	1113	948	1435
RAP1GAP2	141	344	357	275	174	452	133	160	128	380	225	195	363
MYL12B	1244	1340	1527	1689	1260	1717	1519	1458	1130	2291	1850	1709	1629
MYL12A	455	611	643	961	803	880	840	742	597	1287	814	1015	767
BAGE	3	0	0	1	0	5	0	0	1	0	0	1	2
TMPO	537	766	832	647	316	863	302	341	233	421	412	372	871
ECM2	72	99	89	439	352	612	148	427	369	335	556	542	84
ECM1	14	72	52	129	185	155	46	128	115	91	58	170	42
RAB3IL1	595	955	451	656	275	581	205	302	341	352	242	382	445
NAP1L1	1277	1370	1695	2000	1627	1931	1618	1945	1560	2675	2342	2086	1823
NAP1L2	30	35	87	96	131	63	138	137	68	198	165	132	97
NAP1L3	368	370	778	684	1086	451	1086	954	460	1644	1316	1118	782
NAP1L4	1459	2577	1788	1627	558	1767	649	648	419	816	765	774	1847
NAP1L5	109	100	182	225	230	185	273	264	174	414	337	239	219
PEAK1	359	1063	1766	1252	1551	1226	1644	1666	1364	2647	2125	1236	2043
IL1RAP	25	25	25	33	26	43	5	26	32	20	28	11	17
KIAA1143	78	124	124	129	110	162	96	123	84	142	152	109	125
KIAA1147	46	93	93	167	147	213	94	180	138	159	178	140	114
KANK4	17	54	69	61	6	48	13	10	47	68	33	10	59
KANK2	238	571	497	1696	1342	1730	774	1492	1684	1328	854	1281	465
KANK3	31	53	50	80	49	155	45	90	90	58	75	49	46
KANK1	329	737	848	636	449	537	551	625	520	1053	659	594	893
CANX	2543	4822	5415	4924	3191	6233	3711	3894	2800	5422	3796	4064	5708
ABHD8	418	1307	471	439	98	404	97	75	98	167	121	134	428
MYLIP	204	403	441	392	240	434	282	410	317	587	362	279	496
ABHD2	1149	2331	1753	1590	577	1663	558	687	616	681	861	630	1865
ABHD3	73	96	114	172	85	103	103	129	84	173	103	133	138
ABHD1	492	1303	452	451	10	235	15	15	9	8	6	15	430
ABHD6	56	58	82	110	111	103	175	123	118	244	186	246	90
ABHD4	402	931	2465	1962	2065	939	3653	2836	2085	5776	3764	3326	2572
ABHD5	227	449	396	270	103	445	82	88	80	105	108	93	427
TWF1	88	149	181	202	120	204	128	161	107	159	184	147	180
TWF2	186	163	194	254	209	335	208	207	227	336	250	295	241
BCL2L2-PABPN1	0	0	0	0	0	0	0	0	0	0	0	0	0
USHBP1	7	11	29	43	17	82	23	52	38	19	17	30	26
SSU72	506	628	544	545	249	675	279	291	229	447	335	297	543
C5orf64	3	2	6	2	1	1	1	3	0	0	2	0	1
C5orf63	130	187	237	187	149	224	159	193	117	219	167	133	263
C5orf60	66	301	77	109	0	30	0	0	0	0	2	0	82
FAM47C	47	152	81	54	0	44	0	1	1	0	0	2	61
CCNH	434	771	413	350	66	425	99	82	47	156	102	91	497
FAM47E	56	93	46	35	20	41	31	47	24	39	33	44	53
GTF3A	324	367	342	341	142	508	131	174	121	194	186	205	348
CCL3L1	0	0	0	0	0	0	0	0	0	0	0	0	0
BATF2	7	14	10	23	9	19	3	9	13	12	10	15	16
BATF3	10	10	10	10	3	14	2	4	4	2	1	2	5
AGO1	108	373	441	412	356	513	321	368	265	510	413	337	490
AGO3	151	258	168	131	35	114	34	50	29	54	46	32	193
AGO2	43	249	113	78	56	67	63	55	27	84	64	31	122
FAM120B	247	510	476	358	207	331	218	230	191	357	275	208	478
FAM120C	110	160	235	210	138	223	114	126	84	177	143	147	252
FAM120A	348	492	834	826	921	833	957	985	714	1464	1265	1076	906
MAPK14	191	320	438	502	453	536	517	523	399	714	589	551	447
MAPK15	234	385	208	138	3	135	2	1	3	5	4	5	173
MAPK10	216	443	221	348	99	315	139	189	235	176	175	217	235
MAPK11	88	106	98	188	96	233	90	125	149	123	109	121	99
MAPK12	73	99	85	96	8	130	13	30	39	25	37	26	82
MAPK13	644	1387	1091	935	597	630	661	673	545	1131	827	653	1101
FZD1	47	93	125	282	266	290	125	243	251	281	231	272	118
FZD2	29	59	25	103	118	115	59	161	179	201	160	156	34
FZD3	271	419	684	460	483	433	175	342	154	1018	601	734	838
FZD4	199	378	635	680	735	733	920	1111	882	1405	872	949	688
FZD5	27	33	44	24	23	47	10	26	18	20	12	18	26
FZD6	55	134	138	174	172	231	177	137	111	162	168	167	176
FZD7	64	133	130	126	51	125	24	49	71	47	42	57	133
HUS1	38	108	102	80	78	115	93	113	66	138	124	89	127
CYP2B6	1	6	2	1	0	2	0	0	0	0	0	0	0
C10orf71	0	0	0	1	0	1	0	4	5	2	3	1	0
C10orf76	240	396	413	447	189	476	289	280	236	497	313	297	433
OR10W1	1	0	0	0	0	0	0	0	1	0	0	1	0
C8orf44-SGK3	0	0	0	0	0	0	0	0	0	0	0	0	1
ASH1L	253	826	1088	807	870	961	793	830	612	1102	1016	709	1173
AMFR	1985	2825	2593	2353	1503	2500	2035	1520	1014	2472	2240	2260	2616
USO1	743	1043	1211	1059	501	1162	540	653	467	871	702	604	1400
PICK1	352	607	403	403	156	329	195	217	156	228	225	238	417
MRTO4	313	376	302	306	151	288	242	186	150	323	280	280	308
LPXN	135	199	155	183	100	226	143	134	104	127	112	147	179
TMIGD2	9	10	6	8	2	2	1	0	0	0	0	0	4
ESCO1	651	816	780	599	296	714	406	435	267	659	453	396	958
NUP43	203	333	424	368	312	414	407	473	361	527	496	483	452
SHOX	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF654	180	263	323	249	142	313	113	166	138	178	171	117	377
DBX2	19	20	21	25	17	23	6	3	1	2	0	20	25
DBX1	1	5	4	4	0	7	0	0	0	0	0	0	2
TARBP2	193	247	309	283	210	271	260	214	199	347	317	325	273
TARBP1	190	342	321	258	203	333	208	228	132	175	206	191	348
ZNF652	406	954	945	862	488	925	537	696	537	742	555	579	968
PPCS	177	207	218	238	268	292	274	296	214	378	373	371	244
PSPC1	556	796	732	538	189	706	276	289	202	453	306	299	743
PPP2R4	2478	4317	3230	2783	1014	3307	1392	1058	952	2168	1716	1513	3302
NGRN	1158	1941	1729	1638	1087	1953	1271	1331	917	1839	1708	1499	1882
CSF3R	4	20	4	39	47	54	10	41	26	10	21	50	6
RAPGEF4	67	64	154	105	84	149	153	90	156	503	177	183	147
UBE4A	615	953	1099	860	586	968	647	778	466	951	790	578	1101
RLN3	3	13	4	2	0	6	0	0	0	0	0	0	7
PTGDR	1	1	0	4	3	7	0	4	0	1	2	8	3
PTGDS	6783	14221	7854	22282	19575	39868	16939	19443	25924	25477	18502	32648	7775
TBC1D23	322	444	444	479	344	445	347	380	236	462	425	389	521
TBC1D21	261	439	235	140	0	108	1	0	0	2	1	1	213
TBC1D20	327	817	715	793	473	1023	433	510	447	634	604	587	744
TBC1D26	186	300	124	125	0	94	1	0	1	2	2	2	134
TBC1D25	217	624	447	429	278	409	348	338	222	606	428	364	454
TBC1D24	56	115	148	128	159	199	88	127	99	130	136	184	142
TBC1D29	15	85	35	17	0	14	0	0	0	3	1	3	22
TBC1D28	47	174	93	67	0	41	0	0	1	0	2	0	93
FUNDC2	283	382	271	405	225	349	225	225	227	357	316	291	336
TBC1D2B	195	532	471	620	436	792	229	424	528	484	319	431	428
ARPC4	473	539	694	794	551	723	781	667	613	1114	848	933	670
TYRO3	557	938	1331	1461	1466	1063	1679	1534	1392	2830	2006	1861	1403
ZNF382	60	72	88	76	26	45	39	42	33	38	37	18	114
C1RL	50	78	50	246	188	357	158	199	213	158	237	322	57
ZNF823	20	22	41	40	38	36	39	40	22	37	33	44	27
ZNF354B	29	79	107	102	62	104	24	51	46	56	72	62	129
WDFY4	102	273	152	110	29	103	10	30	8	5	19	17	176
WDFY3	299	606	1132	845	1049	793	1088	1049	835	1479	1224	801	1285
WDFY2	147	262	341	310	210	349	267	325	187	382	459	255	341
WDFY1	300	368	514	578	496	570	491	633	515	864	666	462	589
ANKRD35	11	54	40	49	47	43	19	31	37	35	22	43	39
ANKRD36	29	61	93	37	4	51	14	12	6	14	28	6	84
ANKRD37	27	93	49	38	6	55	7	22	14	20	19	10	58
ANKRD31	153	271	323	161	12	290	18	17	6	17	23	16	348
ANKRD32	255	411	418	332	106	408	122	165	108	151	185	121	524
ANKRD33	2	0	4	1	1	3	0	1	1	0	0	0	3
ANKRD39	30	56	45	47	29	62	36	31	25	39	41	44	52
PRAME	1470	2713	2910	2572	1517	2988	1923	2317	1570	2727	2234	1841	3152
FAM194A	411	560	297	276	6	166	7	6	4	12	2	5	331
FAM194B	34	128	34	49	0	12	2	3	2	0	3	1	21
MECR	111	256	172	151	117	164	156	144	93	196	150	140	172
LOC441155	2	27	19	14	0	9	1	0	0	0	0	2	18
SLC27A5	188	279	73	99	17	75	9	26	22	29	27	28	77
SLC27A4	648	846	702	405	82	531	75	77	87	86	93	101	678
SLC27A6	101	239	84	322	86	89	804	546	44	602	824	779	68
PRAM1	15	19	32	22	49	38	36	35	15	27	26	46	27
SLC27A3	357	425	705	598	631	524	932	905	688	1007	921	1055	678
AK8	305	465	278	211	5	163	13	5	11	8	10	12	314
TBCK	103	317	287	212	143	205	124	166	120	194	163	128	344
WDR85	258	354	416	411	261	704	189	288	287	364	321	315	427
AK3	105	155	182	290	378	521	249	409	331	242	324	489	196
AK2	374	591	820	803	632	871	905	959	722	1188	1156	831	828
AK1	488	610	341	578	353	497	368	372	411	521	551	575	336
TBCD	410	720	667	759	391	837	339	352	343	496	441	519	698
AK7	136	222	160	106	1	149	0	9	2	4	10	7	181
TBCB	503	709	583	600	321	648	363	301	254	485	341	425	546
TBCA	206	215	237	216	196	346	139	202	125	211	248	241	241
AK4	228	311	643	533	614	574	783	533	351	1151	791	627	696
WDR87	814	2316	1641	824	3	943	8	6	9	4	16	4	1640
MME	26	39	85	68	267	99	136	112	103	156	381	171	103
MMD	363	402	538	511	249	590	258	185	196	579	293	308	646
SH2D3A	66	144	93	81	12	101	9	9	7	17	6	11	93
PRR15L	15	99	22	24	1	33	4	7	2	6	6	0	34
TMEM55A	84	127	161	139	80	169	136	125	105	263	150	126	170
TMEM55B	275	503	378	375	249	427	270	288	239	411	403	319	407
LIN9	137	249	206	122	11	201	9	27	14	13	24	14	221
SLC24A6	192	423	525	661	820	676	851	710	964	1183	1157	700	496
SLC24A4	28	101	203	136	113	184	136	101	97	185	172	163	242
SLC24A5	4	22	13	9	12	9	15	19	4	10	12	4	26
SLC24A2	11	15	21	15	1	21	1	5	1	3	1	1	28
SLC24A3	25	68	48	84	20	89	14	34	112	52	41	45	53
SLC24A1	100	279	337	221	170	291	192	203	157	302	201	209	304
C3AR1	8	22	14	60	50	103	33	72	51	56	56	54	17
ITLN2	6	4	3	10	9	9	6	6	4	9	20	12	2
ITLN1	12	20	7	16	18	23	19	18	13	27	48	37	18
ZXDB	32	55	87	108	122	78	97	124	86	159	154	111	101
ZXDC	329	573	812	665	493	847	536	639	467	864	770	583	855
ZXDA	12	26	38	41	47	37	25	46	33	46	39	39	34
ANKRD36B	8	11	21	16	10	19	7	6	1	2	8	3	26
REXO1L1	1	1	1	1	1	0	0	0	1	0	0	1	0
EXOSC8	286	271	199	186	63	235	83	97	59	84	90	90	223
EXOSC9	584	680	517	435	78	563	75	62	48	105	110	90	540
BCKDK	180	269	291	268	226	333	323	289	246	495	376	361	312
EXOSC2	49	100	116	108	127	138	119	128	111	188	146	139	113
EXOSC3	335	410	307	264	97	325	131	141	74	166	162	134	268
EXOSC1	77	115	89	103	48	133	49	51	31	73	75	62	109
EXOSC6	62	130	175	91	99	147	144	148	89	256	185	168	143
EXOSC7	293	249	366	296	189	345	262	271	219	317	319	263	370
EXOSC4	844	946	508	472	122	383	229	164	123	325	233	185	492
EXOSC5	94	134	104	87	48	101	47	44	39	126	86	66	98
DEFB108B	1	0	0	0	0	0	0	0	0	0	0	0	0
TULP3	173	410	359	393	111	479	75	125	125	105	127	166	395
TULP1	6	8	3	5	0	8	0	1	1	0	0	4	9
TULP4	249	688	510	515	258	704	246	285	167	275	306	297	515
DISC1	7	13	2	5	0	2	0	0	0	3	0	2	2
INCENP	110	366	292	204	50	277	55	64	60	93	92	70	277
PSMB11	6	14	2	6	1	3	0	0	0	0	0	0	3
PSMB10	114	73	92	103	63	126	47	67	86	77	64	76	75
PAOX	870	1267	721	596	30	442	33	48	35	52	62	48	643
SKP2	72	113	144	121	59	168	89	81	56	107	111	119	152
INS-IGF2	0	0	0	0	0	0	0	0	0	0	0	0	0
SKP1	1898	1925	1791	1833	1224	2175	1311	1316	960	1824	1518	1504	2008
NOC2L	466	735	795	626	291	782	329	344	267	579	481	387	844
CRYBG3	123	485	635	227	187	251	205	159	105	340	242	88	677
IFI16	137	228	300	456	409	585	407	473	350	550	461	545	288
MC5R	2	13	6	1	0	1	0	0	0	0	0	0	5
LRRFIP1	93	165	220	288	179	426	113	251	204	154	128	170	191
TFIP11	711	1373	797	643	232	606	295	292	236	489	385	375	801
LPAR2	561	642	1255	1226	1443	1021	1765	1768	1112	2452	1814	1673	1209
LPAR3	40	102	227	167	165	101	237	245	195	547	373	170	231
LPAR1	62	128	83	305	258	334	184	258	265	219	208	279	98
LPAR6	137	253	147	280	263	290	107	228	159	147	166	198	163
LPAR4	1	0	3	5	8	8	2	8	5	4	6	15	1
LPAR5	20	42	52	50	30	55	25	23	23	54	28	32	41
MAPKBP1	809	2756	2759	2384	2092	1919	2572	2913	1979	3378	3211	2494	2798
SPECC1	666	1346	820	842	132	753	291	193	334	516	226	219	812
LIMS2	95	137	122	213	133	324	102	267	231	194	145	164	101
LIMS3	0	0	0	0	0	0	0	0	0	0	0	0	0
LIMS1	119	289	367	417	408	544	434	537	307	694	451	394	389
SUN2	725	1506	1943	1821	2099	1750	2394	2285	1850	3500	2714	2743	1839
SUN3	310	693	234	217	2	134	4	3	1	4	1	3	269
SUN1	1081	1930	1839	1867	978	2287	821	963	811	938	1146	1190	1934
SUN5	105	244	134	105	0	65	1	1	2	0	1	0	136
HIST1H3B	0	5	0	0	0	2	0	1	1	0	0	1	1
HIST1H3C	0	3	1	5	0	3	0	0	0	0	2	0	1
HIST1H3A	2	23	10	6	1	4	2	7	1	6	1	1	14
HIST1H3F	0	0	1	1	1	0	0	0	0	2	0	0	0
HIST1H3G	0	2	1	0	0	0	0	0	0	0	1	0	0
HIST1H3D	3	12	4	3	9	6	16	16	15	24	12	13	8
HIST1H3E	0	8	5	7	8	3	10	11	9	5	6	6	2
HIST1H3J	0	0	1	2	1	0	0	0	0	0	0	0	0
RBM14-RBM4	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H3I	0	0	3	0	0	0	0	0	0	0	0	0	0
SEC11A	473	592	623	658	584	782	583	558	406	817	689	643	647
SEC11C	206	179	179	168	77	178	95	90	60	144	110	124	156
CLPTM1L	891	1223	1120	936	426	1327	573	411	346	898	551	504	1152
FAM25C	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM25B	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM25A	2	0	1	0	0	2	0	0	0	0	0	0	0
FAM25G	0	0	0	0	0	0	0	0	0	0	0	0	0
EVA1C	158	295	103	162	81	115	120	112	87	185	111	105	107
SRP68	466	710	735	613	417	664	503	504	417	817	642	543	745
OMA1	93	83	127	121	154	119	98	147	47	124	136	117	119
PCYT1A	219	442	305	241	134	230	163	170	126	245	155	153	302
C5AR2	21	55	44	20	4	16	1	9	2	3	9	5	31
PCYT1B	151	405	406	384	545	278	639	450	267	801	516	521	404
PRRX1	226	344	228	614	577	1097	219	464	490	407	628	742	231
PRRX2	81	176	77	95	16	311	10	21	9	20	2	18	84
RGR	4	21	6	5	0	8	0	0	0	0	0	1	5
USP29	128	208	147	112	1	134	1	3	1	1	1	0	177
RGN	25	36	33	146	113	175	122	130	99	81	109	158	28
CARD9	17	21	24	18	15	36	6	15	30	6	8	14	21
CARD8	225	380	474	424	414	621	312	478	335	493	420	370	553
CARD6	8	32	44	49	62	51	20	71	41	69	51	51	54
ERP27	0	1	0	1	4	4	1	2	4	1	2	5	5
HMP19	131	241	161	163	1	180	0	1	0	3	5	1	180
ERP29	918	1011	1465	1474	1353	1295	1750	1774	1160	2690	1667	2224	1493
ABCA10	88	258	67	146	139	228	42	108	72	107	161	190	79
ABCA12	24	68	49	34	34	28	42	42	13	59	35	35	47
ABCA13	56	91	134	79	5	70	15	24	17	31	11	7	157
ARHGEF9	42	140	139	230	282	231	245	350	258	356	378	280	141
CCSER2	1109	2749	1565	1541	450	1102	408	462	304	569	535	449	1640
OR51F1	0	0	0	0	0	0	0	0	0	0	0	0	0
OR51F2	0	0	0	0	0	1	0	0	0	1	0	0	0
ARHGEF2	379	908	567	560	165	583	65	165	169	101	104	154	599
ARHGEF3	191	355	544	494	461	489	554	633	529	885	777	614	589
ADIRF	74	113	93	260	164	418	56	215	195	92	191	299	78
EOGT	116	246	164	230	103	206	77	146	138	140	88	137	179
CDH8	3	11	9	7	8	0	13	5	3	4	6	2	13
RHBG	26	42	30	24	3	9	1	4	2	1	9	5	19
BMP2K	234	779	691	436	127	485	235	189	116	288	204	139	713
MTG1	408	488	354	431	186	379	221	282	242	340	306	264	357
COCH	20	27	25	19	3	36	3	2	2	3	3	8	18
PIFO	325	397	212	193	12	171	6	13	15	10	41	24	231
MAEA	520	747	860	749	464	850	513	519	373	752	719	596	876
CDH2	716	1129	1770	1530	1565	1194	2235	1865	1248	3461	2456	1936	1838
MAEL	1613	2843	1642	1358	23	1473	56	39	36	94	77	41	1840
CACFD1	555	983	619	535	277	634	213	204	148	310	278	243	545
PLGLB1	0	0	0	0	0	0	0	0	0	0	0	0	0
PLGLB2	0	0	0	0	0	0	0	0	0	0	0	0	0
UFM1	239	308	463	494	310	622	338	431	302	497	395	415	504
TXNL4A	597	644	422	336	107	429	141	132	107	253	193	164	477
TXNL4B	212	281	413	431	404	356	551	445	402	987	643	631	415
HPGDS	0	4	1	26	19	16	4	6	10	11	28	21	4
FAM53A	288	400	271	232	6	324	4	7	2	9	7	12	274
FGD2	4	19	14	46	46	51	10	27	20	24	26	46	21
AHCY	1343	2276	1708	1442	617	1283	668	733	554	1052	892	706	1721
SP100	48	62	52	172	132	176	78	176	148	153	149	164	57
PARG	140	189	165	134	89	182	100	103	79	121	113	124	169
DHDDS	130	455	448	398	251	373	394	397	304	601	459	355	489
AOC2	62	139	140	114	18	109	16	25	17	27	22	9	125
TIMP3	975	2531	1901	5885	4995	7472	4070	5409	6765	5326	2966	5152	1957
TIMP1	1151	962	2206	3226	3408	2094	3843	3578	3338	9134	2880	4346	2212
PARN	304	450	434	439	203	602	202	251	172	326	243	222	512
PARL	296	364	311	300	170	348	273	259	179	386	298	268	330
EPO	8	7	6	6	3	6	0	1	0	2	2	1	11
TSACC	3152	4823	2191	1824	9	1318	9	9	9	11	23	12	2141
PSORS1C1	385	504	260	185	10	218	4	8	6	2	2	4	275
PSORS1C2	21	47	38	17	9	30	1	1	3	1	1	4	22
PAGE2B	68	89	65	58	1	87	0	0	0	0	1	0	63
SEMA7A	507	1130	1849	1916	1604	964	2750	2402	2153	4922	4223	3025	1795
DDX4	2091	3299	2566	1748	5	2186	4	12	3	8	22	4	2759
DDX5	3942	6022	5806	6539	4530	7394	5465	7947	4219	7119	6284	5657	6352
DDX1	747	651	630	589	356	755	389	435	295	611	559	442	660
SCN3A	81	146	104	78	2	48	5	20	26	14	2	5	102
SCN3B	36	214	166	142	63	72	51	91	60	115	67	63	156
