gene	TS001	TS002	TS003	TS004	TS005	TS007	TS008	TS009	TS010	TS011	TS012
MCIN	3	16	8	7	1	1	1	0	0	0	0
CAGE1	136	358	186	123	3	5	4	2	4	5	3
PROCR	19	54	55	47	15	4	30	27	17	14	31
ODF3	85	103	77	71	1	0	2	0	0	2	0
ODF2	4912	10565	5098	4274	162	152	216	172	214	218	166
ODF1	3169	4664	1793	1575	2	6	5	5	5	19	6
ODF4	147	227	76	107	1	0	2	0	0	1	0
KIF3B	696	1903	1339	1088	457	477	550	367	815	587	512
KIF3C	59	147	170	180	175	111	167	125	138	164	148
KIF3A	541	1022	896	672	209	187	207	111	197	211	160
TMEFF1	3	20	10	8	0	0	0	0	0	0	0
TMEFF2	11	21	7	17	33	5	30	24	12	42	26
STAMBP	195	420	468	438	338	374	379	241	520	439	345
TLR10	0	3	0	4	9	1	1	1	2	0	1
SUCNR1	0	1	0	1	0	0	0	1	1	1	0
FAM209B	474	710	310	209	3	4	6	2	4	7	3
TBXA2R	6	10	25	18	18	9	29	23	12	19	12
SEL1L	383	500	779	751	576	672	698	490	1049	889	644
FAM209A	499	688	255	276	3	4	7	3	3	4	5
CGB8	0	1	0	0	0	0	0	0	0	0	0
CGB5	0	3	1	0	0	0	0	0	0	0	0
CGB7	3	7	5	6	0	0	0	1	0	0	0
PDSS2	80	118	135	124	116	122	149	78	195	169	139
CGB2	0	1	1	0	0	0	0	0	0	0	0
KIAA2018	157	414	456	280	220	186	239	188	306	236	177
KIAA2013	570	898	737	665	350	486	396	314	753	530	514
PPP1R27	10	15	6	6	0	0	1	0	0	3	1
EMP2	125	140	113	318	359	221	333	345	326	254	342
EMP3	117	91	116	182	251	199	190	201	316	169	265
EMP1	89	162	122	277	338	211	755	584	237	336	355
TMSB4X	230	196	146	619	515	335	693	605	438	393	604
TMSB4Y	36	55	85	69	78	139	155	79	344	104	99
CCDC23	357	487	247	310	65	57	54	46	69	79	66
CCDC22	49	63	93	92	108	112	144	120	209	154	143
CCDC25	351	686	572	557	365	466	470	309	797	639	504
CCDC24	325	635	309	293	35	38	28	27	23	30	49
CCDC27	191	573	220	188	6	14	11	9	10	12	10
VHL	385	765	836	783	537	564	612	421	860	700	680
FIBIN	10	17	1	32	23	19	52	67	28	62	30
CDKN3	1189	1954	771	699	6	8	9	8	8	15	4
UBE2G2	340	613	605	949	579	587	685	696	967	909	855
UBE2G1	391	724	826	762	465	583	534	353	761	642	565
KCTD20	135	411	510	599	636	590	617	459	837	721	587
KCTD21	38	85	125	150	132	94	136	87	205	114	127
LOC100506688	6	12	20	8	13	17	17	11	69	23	6
NEDD8-MDP1	0	0	0	0	0	0	0	0	0	0	0
KIAA1430	706	1497	1391	846	283	233	275	220	363	339	245
KIAA1432	253	703	504	519	343	437	454	300	478	444	362
FAM96B	381	405	405	383	230	301	277	225	431	385	329
RANBP3L	18	39	93	52	48	71	93	69	179	108	39
HEPHL1	13	27	20	21	3	43	48	25	19	23	12
FAM101B	122	202	168	214	114	93	138	202	164	103	170
FAM101A	1	0	1	0	0	0	0	0	0	0	0
SGPL1	354	922	1242	1209	918	965	876	772	1362	1016	1053
APBB1	317	551	391	425	217	155	167	174	197	186	194
APBB2	173	421	356	463	207	169	290	276	338	317	289
APBB3	246	662	744	720	652	671	745	630	896	614	758
ZNF318	956	2519	2520	1500	253	141	258	199	255	288	250
UNKL	226	408	332	398	195	162	181	180	192	213	264
WDR6	711	1588	2230	2474	1734	1896	1823	1440	2804	2589	2404
WDR5	952	1344	1032	1042	289	275	275	249	336	376	415
WDR4	79	127	104	86	52	34	48	28	47	45	44
WDR3	287	461	510	406	196	244	238	161	523	331	259
DIAPH1	540	1442	1198	959	430	262	414	294	385	413	385
DIAPH2	136	238	309	252	203	256	216	142	445	166	194
DIAPH3	321	654	322	228	2	8	2	0	1	3	1
SMR3B	5	28	18	8	0	0	0	0	0	0	0
SMR3A	1	0	0	0	0	0	0	0	0	0	1
MFI2	106	193	141	152	41	30	56	21	40	25	61
COX6A1	360	381	302	267	192	195	182	147	265	253	212
COX6A2	4	7	9	12	4	0	1	3	1	1	1
POU2AF1	3	16	11	31	2	11	4	11	5	4	10
UBIAD1	216	546	367	341	181	174	182	157	372	255	196
NDNF	200	269	204	186	21	10	20	13	14	4	31
MAGEE2	1	1	0	0	6	2	5	1	4	4	1
MAGEE1	9	12	34	40	53	28	39	49	35	49	42
IRG1	1	1	0	0	0	0	0	1	1	0	1
SNX31	38	53	26	15	0	0	0	4	1	0	3
SNX30	506	906	947	744	285	332	375	285	622	413	369
SNX33	48	107	96	164	152	81	156	196	162	145	186
SNX32	12	93	30	40	2	10	5	2	11	2	6
IRGQ	158	333	466	422	481	405	539	299	621	505	505
CHRAC1	212	392	472	353	177	203	199	188	275	255	239
IRGC	1535	3131	1140	1083	1	2	3	7	3	10	1
IRGM	13	6	8	4	0	1	0	0	0	0	0
C1orf146	21	40	35	43	1	0	0	0	0	0	1
GABRR1	25	45	30	39	2	0	1	2	1	0	0
GABRR2	1	6	5	8	5	0	2	5	3	6	3
GABRR3	0	4	0	0	0	0	0	0	0	0	0
TRIM59	183	308	260	185	20	19	39	15	41	32	28
TRIM58	67	229	154	178	50	34	71	13	40	54	27
TRIM55	267	252	227	253	246	334	222	134	334	221	230
TRIM54	292	391	406	376	113	190	175	254	362	183	264
TRIM56	6	43	86	84	194	141	175	110	225	195	144
RNASET2	122	110	138	163	108	58	131	138	169	85	165
TRIM50	111	176	147	117	16	17	38	27	21	29	22
TRIM52	92	212	337	336	319	410	489	359	440	393	316
CCNDBP1	236	342	425	360	196	256	295	178	468	331	297
ZNF213	355	1699	933	776	168	181	180	156	270	225	196
NUS1	102	114	164	157	107	130	102	91	233	146	130
ZNF212	269	484	454	378	136	179	178	146	227	192	162
NREP	65	104	117	214	261	166	206	95	132	204	244
GSTZ1	541	671	401	351	89	113	149	126	199	206	155
ATP6V1E2	422	805	409	367	18	8	6	4	19	15	12
KRTCAP2	463	596	504	408	213	386	321	268	451	346	340
KRTCAP3	19	37	31	42	15	13	26	18	8	17	26
MYOG	3	0	2	2	0	1	3	0	2	1	0
MAB21L1	1	2	3	6	9	26	6	3	1	5	23
MAB21L2	1	1	1	2	0	0	0	0	0	0	2
MAB21L3	2	15	20	12	26	44	33	15	49	38	36
HSD17B8	41	57	57	41	27	50	52	43	71	59	46
C1orf228	111	379	89	120	4	7	7	3	4	25	8
HSD17B1	77	102	128	145	183	159	158	127	247	219	243
HSD17B2	2	1	0	0	0	0	0	0	0	1	0
HSD17B3	146	201	489	407	682	635	579	451	800	826	915
HSD17B4	252	389	513	606	464	550	467	324	650	659	575
HSD17B6	407	150	95	204	60	28	66	29	113	485	391
HSD17B7	20	22	27	29	28	17	41	19	32	67	50
ALDH3B2	2	3	3	3	1	1	0	0	5	0	2
ALDH3B1	28	113	69	74	61	58	69	36	223	97	97
ARPC2	1429	2147	1733	1868	1147	1085	1318	907	1638	1404	1342
ZNF219	143	249	408	434	403	469	318	369	813	584	688
PARD3	300	598	521	589	307	214	187	158	288	220	282
PSKH2	0	1	0	2	0	0	0	1	0	1	0
PSKH1	520	1650	1276	1125	914	1193	1038	764	1713	1540	1272
IL1RL1	2	5	1	6	6	4	13	4	1	8	4
IL1RL2	5	5	2	0	0	0	1	1	4	3	2
PEBP1	1956	2684	3587	3559	3429	4171	3427	2884	6103	4890	5320
PEBP4	65	27	41	37	24	23	26	8	34	20	44
CEP192	306	529	756	586	594	488	514	473	674	841	502
UTP14A	15	37	35	63	54	46	59	54	98	68	60
TNFRSF21	178	488	265	226	72	57	97	80	113	121	99
UTP14C	113	177	318	243	280	279	263	227	481	255	245
TNFRSF25	37	58	100	150	120	121	158	159	151	164	152
PROSER1	323	932	805	731	294	414	356	275	560	471	376
PROSER2	94	154	93	76	6	8	13	21	18	8	13
HTATIP2	236	335	169	187	54	71	55	49	84	92	65
SLX4IP	1	15	26	7	18	22	22	19	26	17	5
MAMLD1	207	604	1080	1159	1745	2176	2085	1581	2877	2520	1900
RNMT	281	768	774	692	367	369	490	330	677	523	496
HUS1B	11	26	28	11	1	5	4	1	1	0	2
SLC29A4	37	69	55	75	47	61	44	40	66	45	62
SLC29A3	49	75	121	132	98	162	109	98	209	149	146
SLC29A2	19	49	31	34	9	10	30	24	23	53	22
SLC29A1	171	309	305	679	578	611	861	567	897	664	485
RSC1A1	23	48	64	37	19	19	22	16	32	15	15
C6orf201	512	1007	546	444	5	2	7	4	7	4	4
C6orf203	103	95	98	129	84	70	83	61	138	126	117
MRAS	154	272	241	633	647	527	470	315	583	425	489
MRAP	1	2	3	6	9	8	5	2	12	4	21
SARM1	16	38	83	106	150	177	129	78	194	136	148
RFC5	81	129	189	162	124	157	185	132	180	198	168
RFC4	212	206	200	148	34	28	37	14	31	49	52
HTN1	0	1	3	0	0	0	0	0	0	0	0
RFC1	306	519	453	481	306	320	311	239	462	420	392
RFC3	153	229	243	211	73	169	130	84	185	187	170
RFC2	130	175	151	105	51	43	47	40	51	58	51
CBX8	136	199	211	133	48	51	72	39	70	61	55
CBX7	218	377	393	567	324	148	319	432	352	358	473
CBX6	21	106	195	232	322	264	250	271	354	363	295
CBX5	927	2075	2033	1603	790	658	704	552	1112	900	821
CBX4	115	208	377	274	303	447	1004	385	565	538	521
CBX3	1442	1746	1832	1676	484	446	588	414	676	680	667
CBX2	327	631	632	464	32	35	39	47	15	26	42
CBX1	908	1646	1360	1238	340	243	304	271	344	353	364
CLASRP	312	732	690	502	207	217	291	219	316	300	277
CKS2	665	992	783	593	61	84	247	81	179	104	84
ACADSB	207	226	316	304	231	249	321	297	406	450	297
SHOC2	783	1058	1434	1061	708	738	857	481	1317	1000	755
HKR1	342	641	743	917	771	1076	1203	943	1445	1194	981
ERCC8	107	167	117	96	39	35	57	39	60	51	40
OR10Z1	0	0	0	0	0	0	0	0	0	0	0
ERCC2	178	328	338	272	160	155	138	131	229	237	139
ERCC3	476	1050	777	787	355	410	436	291	475	558	436
ERCC4	308	532	465	354	204	207	218	158	364	219	176
ERCC5	4	21	26	17	15	13	11	12	20	24	12
ERCC6	125	214	211	153	87	71	79	62	133	99	86
MRPS17	148	126	140	93	55	51	68	58	129	80	80
MRPS16	547	649	792	635	453	608	566	412	890	695	612
MRPS15	967	1576	589	603	112	138	137	119	191	174	149
MRPS14	200	277	317	279	242	295	326	207	425	366	286
MRPS12	162	135	165	181	129	186	176	161	313	262	240
MRPS11	186	286	225	182	104	126	95	80	174	153	135
MRPS10	169	167	250	202	143	216	207	107	324	215	159
CD248	87	129	44	244	394	134	214	212	192	276	510
KIAA0922	101	208	149	192	42	25	65	67	38	34	35
PFKP	1402	3873	2014	1236	41	41	65	84	46	40	63
PFKM	627	1284	1002	994	487	452	437	477	825	641	622
PFKL	912	1272	2171	2048	1773	2777	2922	2405	3913	3229	3160
SNURF	6	2	9	11	4	3	6	3	4	6	4
WARS	1095	2358	1368	1115	212	246	336	260	292	284	256
THOP1	757	1466	1008	742	206	192	236	190	273	285	241
CLEC4M	43	32	75	173	238	151	368	76	276	174	77
CLEC4G	7	5	5	1	1	1	1	0	3	4	3
CLEC4F	26	37	16	12	3	2	0	1	2	2	2
CLEC4E	4	7	2	8	7	6	6	12	7	8	6
CLEC4D	0	0	0	4	0	0	1	2	0	0	2
CLEC4C	10	19	9	4	1	0	0	1	0	0	1
CLEC4A	16	30	19	29	16	8	27	10	11	12	21
SSR1	524	723	1005	1052	1090	1010	1321	766	1469	1247	1082
SSR2	1081	1381	954	993	642	593	621	483	863	805	701
SSR3	888	1060	1273	1355	1378	1651	1601	1145	2357	1809	1568
SSR4	368	639	650	643	508	608	577	475	1069	577	650
CTTNBP2NL	116	280	265	255	189	139	220	140	233	178	147
CASP8AP2	107	237	398	204	151	137	120	89	176	164	137
ORAOV1	214	323	307	298	139	176	201	157	223	193	198
APOC4	0	0	0	0	0	0	0	0	0	0	0
APOC2	0	0	0	0	0	0	0	0	0	0	0
APOC3	1	2	0	0	0	0	0	1	0	0	1
APOC1	33	37	9	64	79	37	48	37	59	126	91
USB1	243	635	554	554	350	364	385	209	524	352	393
POU6F2	1	22	12	2	0	0	0	1	0	0	0
ZFPM2	52	122	80	129	157	74	63	85	84	129	91
POU6F1	33	129	83	158	58	42	103	94	72	69	107
KLHDC10	779	1346	1176	940	516	652	577	459	1077	772	616
ZFPM1	109	222	366	201	255	327	404	244	557	341	328
UBE2O	524	1243	995	829	315	389	396	319	495	501	456
FASTK	375	510	608	575	358	421	452	390	596	554	592
SPDYE2L	0	0	0	0	0	0	0	0	0	0	0
PAGE4	13	20	10	2	0	0	0	0	0	0	1
PAGE5	63	73	48	45	0	2	3	0	0	1	1
PAGE2	49	49	28	34	0	0	0	1	0	0	0
B9D1	294	459	303	201	32	20	29	25	34	32	25
PAGE1	102	102	69	49	0	0	2	1	0	0	0
RASA1	481	976	999	1006	812	911	1198	477	1003	1130	662
PGK2	2838	5678	2410	2272	12	7	10	6	9	17	4
PGK1	333	530	656	846	634	838	828	601	1443	1202	1033
BECN1	122	271	256	247	166	234	223	172	359	279	225
RPP25L	142	146	159	137	116	94	98	64	165	100	133
UBE2B	550	607	769	739	557	549	634	394	848	746	685
OXA1L	263	558	444	534	447	572	554	461	778	718	599
C6orf57	41	45	29	37	23	25	38	16	38	45	43
DOCK10	27	58	76	74	112	115	148	44	168	188	87
DOCK11	42	57	55	59	32	11	30	13	13	16	20
C6orf58	2	34	7	5	1	3	1	1	0	0	1
DPM2	227	303	345	302	228	387	332	295	537	468	372
DPM1	298	301	269	219	106	118	172	86	233	209	180
RABGEF1	356	592	674	592	440	499	456	287	653	694	420
TBC1D9B	490	1107	1535	1582	1736	1988	1750	1270	2787	2057	2033
CDH11	75	140	94	489	353	320	429	448	377	282	347
CDH10	8	26	11	6	2	1	3	1	3	1	3
CDH13	51	107	48	58	15	14	35	15	7	7	10
CDH12	9	39	20	18	1	1	2	1	0	2	0
CDH15	23	32	17	14	0	0	0	0	0	0	2
CREG1	757	913	1067	1246	1001	1473	1555	977	2461	1608	1217
CDH17	3	5	7	3	0	1	1	4	1	0	0
CDH16	5	8	3	5	1	1	0	0	3	0	0
CDH19	28	35	27	38	15	21	29	7	8	27	25
CDH18	70	199	69	74	0	0	0	0	0	0	2
OR4A16	0	3	0	0	0	0	0	0	0	0	0
OR4A15	0	0	0	0	0	0	2	0	0	0	0
NIPBL	498	912	1148	820	482	487	519	361	719	628	423
MBP	81	213	244	216	59	125	77	74	143	138	151
DNAJC11	108	339	299	248	150	199	208	161	303	262	200
NPBWR1	0	2	2	0	0	0	0	0	0	0	0
TAF7L	464	534	865	811	666	960	1124	818	1460	1234	869
HRASLS	956	1159	585	400	21	15	13	10	21	40	14
COMMD10	45	66	102	95	88	104	92	72	157	124	115
HTR1D	1	13	3	5	0	0	0	0	2	1	1
HTR1E	6	16	11	5	0	0	1	0	3	0	1
HTR1F	9	6	12	6	1	2	9	0	0	1	1
HTR1A	0	4	0	3	1	0	0	0	1	6	0
HTR1B	3	7	6	7	9	24	14	7	10	25	13
CKAP5	1073	1986	2307	1644	757	933	895	647	1554	1196	1057
BCL2L1	675	1825	1080	1133	378	518	529	510	815	594	557
BCL2L2	296	687	1069	1070	1202	1456	1583	1062	2307	1933	1571
ITSN1	170	435	469	642	537	413	562	416	787	605	579
ITSN2	104	278	331	266	198	179	217	192	297	285	224
PRAF2	345	410	747	695	853	1010	737	718	1059	740	841
NEGR1	50	67	31	132	137	53	139	143	171	198	202
TDP1	262	728	423	382	106	91	128	81	114	127	123
TDP2	415	451	446	506	279	238	317	160	298	378	353
TREH	46	50	6	9	0	0	2	0	1	0	0
MEFV	17	69	45	34	3	3	4	3	3	2	3
AFAP1L1	143	279	236	215	127	84	199	229	108	96	99
AFAP1L2	21	45	46	90	113	40	121	75	55	47	82
PCMT1	1085	1129	1066	842	509	554	535	491	901	735	735
SLAIN2	1076	2503	1458	1396	257	295	398	226	416	362	289
SLAIN1	285	444	798	623	742	913	770	427	1389	1074	833
CPA2	10	27	14	7	0	0	0	1	0	0	0
CPA3	7	15	4	128	143	22	60	72	42	145	132
CPA1	15	21	27	13	0	0	0	1	0	0	0
CPA6	9	40	5	1	0	0	1	0	1	0	1
CPA4	3	13	7	8	8	13	14	0	1	1	16
CPA5	191	455	328	181	0	0	0	1	1	3	2
OSM	3	5	10	15	6	1	11	5	2	5	2
OS9	900	1204	1120	1428	1098	1165	1125	1046	1761	1408	1499
SH2D4A	32	36	49	49	30	11	21	31	29	23	58
SH2D4B	17	23	9	14	9	2	0	1	4	3	1
NPHS2	27	69	44	22	0	1	0	0	0	1	0
NPHS1	11	26	32	20	2	2	0	1	0	0	1
LEPROTL1	480	620	549	564	326	331	374	258	510	561	373
ARG1	2	3	3	4	2	2	3	2	6	4	3
ARG2	63	86	78	59	44	41	45	33	57	51	36
TMEM50B	433	612	705	785	482	542	580	429	456	462	495
TMEM50A	280	323	432	518	475	518	475	379	655	650	541
GON4L	112	431	548	437	315	380	479	341	630	443	342
ABL1	276	907	1040	1138	1052	1107	936	752	1557	1149	1254
ABL2	307	586	553	428	209	176	201	161	212	218	160
TMED7	233	472	672	601	565	631	737	421	1019	930	691
TMED6	7	8	8	4	2	3	3	2	6	5	5
TMED5	406	899	784	735	598	480	462	334	708	720	572
TMED4	111	383	450	388	297	336	318	221	540	479	371
TMED3	741	977	784	784	694	689	721	408	1463	802	771
TMED2	673	1174	1622	1570	1223	1411	1419	1003	1988	1834	1676
TMED1	266	326	355	335	250	298	284	237	526	359	348
ARPP19	913	1380	1672	1496	1046	1227	1362	897	1824	1657	1305
BAIAP2L2	73	116	115	100	46	68	78	41	67	51	71
HNRNPR	684	1031	1112	1082	655	769	724	481	1075	949	875
HNRNPU	2578	4161	4151	3769	1918	2023	2309	1596	3091	2857	2415
TMED9	730	906	1108	1102	937	1122	1037	747	1619	1127	1206
TMED8	5	14	49	10	16	31	20	14	47	45	19
HNRNPK	1310	2159	2333	2146	1571	1910	1801	1287	2588	2177	1957
HNRNPL	1014	1751	1731	1431	632	663	722	578	943	828	870
HNRNPM	1987	2241	2036	1938	865	957	1007	809	1343	1535	1227
HNRNPC	768	1076	1250	1226	870	900	994	740	1550	1161	1057
HNRNPD	992	1278	1411	1376	924	1078	1191	815	1467	1342	1245
HNRNPF	1497	2858	2192	1954	713	603	635	615	974	962	855
SLC6A13	33	79	29	23	0	0	5	2	2	1	1
SLC6A12	34	77	47	60	7	4	2	7	9	9	3
TNNI3K	0	0	0	0	0	0	0	0	0	0	0
PLGRKT	34	23	26	48	33	35	47	34	58	61	47
ANKRD33B	69	164	98	87	12	9	20	11	8	4	18
TADA1	167	180	252	224	160	173	193	131	260	240	210
TADA3	1180	1662	1213	1095	625	705	677	466	1052	849	754
CD52	10	2	4	14	2	3	10	5	4	1	9
CD53	7	17	13	60	39	24	30	40	32	32	70
CD55	226	392	272	319	106	90	161	78	172	194	161
AAR2	302	625	621	526	279	321	322	273	547	445	390
CD59	1204	1623	1981	2947	2729	2332	2929	1806	3154	2722	2969
SRP54	645	842	765	698	245	371	332	224	516	480	332
RASL12	228	368	742	704	1150	906	893	696	1542	928	944
AARS	583	914	733	831	516	365	522	506	734	633	578
SPATA9	479	409	106	287	4	0	6	2	2	3	9
SPATA8	2815	4471	2699	1885	2	10	6	3	6	24	5
SRA1	439	603	562	590	572	660	806	589	828	521	624
SPATA3	445	1174	795	511	3	0	2	2	0	6	0
SPATA2	402	948	777	587	174	192	241	153	329	288	256
AARD	397	732	1037	816	876	1003	1089	672	1748	1623	1071
SPATA6	1090	2607	1022	1096	112	125	140	94	104	107	121
CD5L	0	7	2	1	0	0	0	0	0	0	0
SPATA4	1610	2033	969	816	5	7	4	4	5	14	7
HIST1H4C	0	6	0	0	0	1	0	1	3	0	0
HIST1H4B	0	3	2	0	0	0	0	0	1	0	0
HIST1H4A	0	0	0	2	0	1	3	0	0	0	0
HIST1H4G	0	0	0	0	1	0	0	0	0	0	1
HIST1H4F	0	3	0	0	1	1	2	0	1	1	0
HIST1H4E	1	16	10	1	7	31	31	12	23	16	14
PABPN1L	5	7	4	5	0	0	1	0	0	0	1
HIST1H4K	0	0	0	0	0	0	0	0	0	0	0
HIST1H4J	0	0	0	0	0	0	0	0	0	0	0
HIST1H4I	1	1	6	8	2	4	10	6	19	11	2
HIST1H4H	3	7	3	4	18	14	24	8	27	9	11
HIST1H4L	0	0	0	0	0	0	0	0	0	0	0
DLEC1	281	887	693	551	208	326	373	227	341	415	235
HKDC1	21	48	29	42	34	15	74	15	27	26	54
OR9I1	0	0	0	0	0	0	0	0	0	0	0
KCNF1	11	10	2	12	14	5	5	9	3	4	3
PTRH2	163	158	168	177	136	144	162	118	294	223	173
PTRH1	109	190	112	91	77	103	121	84	101	88	80
CTBP1	566	756	932	1170	907	812	961	748	1035	1070	1153
CTBP2	212	369	537	501	441	463	465	371	674	485	554
KIAA0195	650	1410	1463	1185	888	1039	1009	999	1486	1427	1244
MFSD11	214	403	298	248	90	88	120	82	145	93	108
MFSD10	174	341	323	449	333	247	303	231	352	319	431
GTF3C1	642	1289	1552	1250	787	862	846	652	1278	1143	896
MFSD12	175	400	285	261	117	147	126	128	204	138	128
GTF3C6	373	411	315	336	180	374	310	203	507	314	285
GTF3C5	465	680	618	588	233	306	316	305	443	391	383
GTF3C4	279	548	529	361	125	143	130	110	203	197	144
OR5D13	0	0	0	0	0	0	0	0	0	0	0
CD99L2	273	464	621	797	890	995	822	652	1297	1069	938
OR5D14	0	0	0	0	0	1	1	0	0	0	0
OR5D16	1	0	0	0	0	0	0	0	0	0	0
GAR1	138	128	144	127	46	93	93	51	124	122	89
SOLH	350	1206	989	873	426	482	511	415	562	620	544
EPS15L1	137	337	315	297	145	171	189	148	241	199	196
GART	468	857	797	586	302	296	274	215	424	423	307
GARS	738	887	1011	819	248	234	292	209	396	311	272
ATAD5	35	85	108	52	17	21	36	17	22	38	22
TP53I13	732	858	583	563	139	90	160	137	226	154	212
ATAD1	615	1108	745	777	413	525	481	321	748	539	452
ATAD2	585	828	987	683	284	311	320	176	484	370	273
TCIRG1	77	143	90	309	131	76	153	192	144	164	199
FRAT1	279	331	270	204	115	173	179	108	220	216	168
FRAT2	273	468	286	208	150	115	140	87	212	174	147
SIGIRR	124	77	118	130	48	38	79	88	119	28	63
C22orf23	930	1956	1016	785	69	56	58	36	83	39	45
C22orf24	2	7	10	4	1	3	1	2	3	4	3
C22orf26	7	8	5	6	6	9	8	5	12	11	10
MTIF3	760	961	485	597	269	279	345	248	380	320	360
MTIF2	205	280	239	235	109	132	188	100	230	178	136
ELMSAN1	190	448	762	669	528	506	554	397	757	492	501
NAPB	225	372	523	568	449	561	738	506	779	641	562
SCN11A	33	95	103	65	19	13	21	7	12	16	9
CALB2	247	73	28	143	199	72	103	89	164	623	762
CALB1	14	25	9	6	3	0	7	4	6	9	3
AKNAD1	83	254	127	101	0	1	2	1	0	4	0
COX19	142	214	237	236	202	209	243	211	337	259	274
PDZK1	5	7	6	5	7	3	3	6	7	7	5
FAM20A	205	464	549	703	757	866	890	718	1318	942	780
FAM20B	237	396	472	447	340	274	403	321	495	413	438
FAM20C	145	222	280	421	310	410	411	465	486	495	642
LOC389895	23	33	54	35	34	47	27	30	83	64	68
CARKD	665	845	1155	1302	887	1287	1123	1105	2124	1649	1338
AGGF1	501	685	659	484	261	270	291	175	372	390	309
PYURF	0	0	0	0	0	0	0	0	0	0	0
EEA1	177	258	345	206	101	65	112	82	97	92	77
FXN	87	133	186	187	158	211	219	142	351	259	207
NIPAL1	1	7	4	3	2	3	12	0	5	7	4
NIPAL2	13	45	73	96	133	106	129	105	182	106	124
NIPAL3	90	198	390	318	370	446	466	202	686	474	551
NIPAL4	5	11	6	5	0	0	0	1	0	0	0
YRDC	221	361	406	330	132	242	224	134	371	285	224
MLF1IP	1425	1818	1047	819	22	19	33	13	23	30	26
CHID1	662	897	881	597	281	349	305	254	701	444	398
EWSR1	1690	2664	2192	2129	925	970	1231	891	1410	1254	1222
AHCTF1	790	1566	1173	859	256	347	488	276	487	409	304
FAM58A	73	97	74	94	80	96	85	61	99	98	110
ARL2BP	1015	1396	1129	1171	667	729	776	634	1018	907	882
SLC16A14	19	17	48	90	70	135	87	87	111	90	101
SLC47A2	1	8	8	4	8	2	2	0	4	2	3
SLC47A1	262	434	710	1097	795	1235	1555	1056	1884	652	1126
C2orf57	1257	3096	1103	1041	2	6	5	2	3	7	6
C2orf54	0	6	1	4	0	1	1	0	0	0	2
SPINK9	0	0	0	0	0	0	0	0	1	0	0
SLC16A12	28	65	32	51	42	14	34	53	62	39	70
CHM	54	97	205	170	201	232	233	152	354	243	197
RINT1	171	278	288	256	92	119	167	108	256	147	131
SH3BGRL	480	600	1115	1578	1881	2314	1976	1433	3178	2504	2072
HMHB1	4	3	4	0	0	0	0	0	0	0	0
ZBTB33	191	203	301	303	292	218	243	170	331	339	276
SERINC5	624	1219	2555	2182	2752	3271	2930	2431	5807	4666	2990
SERINC4	31	142	132	147	96	96	112	92	150	97	97
SERINC1	716	969	1722	2009	2374	2977	2690	1752	4534	3518	2776
SERINC3	1152	2694	2032	1763	808	886	850	585	1462	1142	1025
SERINC2	48	118	96	86	38	45	35	33	79	32	61
PINK1	2807	5172	2689	2470	591	694	729	571	959	932	849
COX14	222	172	182	184	99	128	122	103	186	199	170
MLH1	424	708	573	515	205	209	219	141	278	269	263
PKDREJ	116	400	253	211	7	9	4	6	8	8	8
CALHM2	124	182	272	370	405	379	375	309	652	481	584
CAMTA2	464	1336	868	739	307	266	251	307	294	331	331
CAMTA1	342	515	420	386	239	264	275	211	363	294	265
KXD1	524	1043	622	627	306	346	357	289	549	398	467
SDF2L1	272	320	206	149	13	8	12	21	14	23	28
NPFFR2	14	31	6	5	2	3	1	0	0	1	0
NPFFR1	1	7	8	4	11	13	14	9	31	24	14
ABTB1	122	152	157	220	136	121	159	159	159	177	194
ABTB2	36	112	304	178	342	258	403	274	594	122	357
RPS6KB1	127	184	253	256	252	209	258	211	351	325	243
TRADD	62	72	87	107	100	111	103	102	182	143	134
RPS6KB2	97	172	174	163	109	109	127	114	188	160	171
FAM177B	8	7	8	7	2	1	2	1	2	0	5
USP17L21	0	0	0	0	0	0	0	0	0	0	0
BUD13	407	564	482	348	95	90	116	80	141	159	123
F2RL3	31	60	121	86	122	171	157	152	289	157	148
F2RL2	1	1	1	5	4	0	11	1	1	1	1
F2RL1	8	11	17	16	1	2	3	2	5	2	3
XAB2	717	1110	920	865	286	391	422	373	588	518	462
ST6GAL2	164	355	477	331	413	543	673	426	773	720	556
ST6GAL1	30	61	57	191	148	93	212	222	108	96	136
OTUB1	709	1063	882	853	444	646	519	467	861	712	638
OTUB2	251	384	201	199	32	28	59	30	81	46	38
NPTN	604	906	1218	1275	1042	1227	1359	983	1892	1632	1138
ERO1LB	600	872	729	582	155	210	195	145	261	183	185
SULT2A1	9	7	4	19	30	1	26	2	15	211	103
VEZT	194	339	532	413	653	620	619	441	898	756	607
DCAF7	713	1476	1407	1201	849	978	982	640	1597	1257	959
DCAF6	1614	2901	1757	1721	711	625	722	451	1081	901	813
DCAF5	1026	3321	2623	2233	1084	1225	1467	1090	1935	1427	1136
DCAF4	94	219	166	150	78	66	129	78	103	123	84
DCAF8	629	1107	1439	1516	1189	1438	1584	1234	1876	1644	1439
POLR3F	167	239	241	163	90	131	158	130	172	154	163
POLR3G	77	182	125	102	13	7	37	17	25	31	20
POLR3D	338	498	320	248	111	85	111	67	154	156	96
POLR3E	234	473	408	359	235	302	323	222	417	318	320
POLR3B	84	144	169	126	82	107	99	64	157	114	115
POLR3C	353	596	310	275	80	62	92	73	88	79	78
POLR3A	153	422	464	390	232	253	281	198	399	316	234
